k=7.500e+02, gamma=0.500, dt=0.0100, T=1, stopTime=10.0000
min radius=0.200, max radius=2.000
N=250, Lx=100.0000, Ly=100.0000

# initial positions: i, x, y, r
i,x,y,r
182,93.79024,41.22436,1.05448
183,73.00283,33.15857,1.54477
184,22.59606,8.80100,1.63284
185,46.77324,22.56295,1.20981
186,93.70514,12.25702,1.00305
187,77.24845,81.03836,1.47112
188,8.70028,41.24699,0.34140
189,37.20828,3.17080,1.26356
190,80.29188,65.48978,1.80694
191,39.27037,16.62367,1.05747
192,45.60617,89.96222,1.68060
193,45.95253,7.77848,0.26681
194,50.65144,47.19197,1.98836
195,68.50437,16.30200,0.45036
196,64.69125,29.38855,1.07633
197,15.96279,38.20539,1.11631
198,25.79604,80.67264,0.68472
199,81.96833,97.14064,1.57482
200,12.10315,18.33910,1.74781
201,96.49200,42.32956,1.21806
202,34.37289,33.75049,1.25211
203,49.47390,43.50597,1.61135
204,1.60239,57.13140,0.51748
205,52.27924,36.16210,1.07588
206,49.51685,15.76247,1.80776
207,33.80078,30.64334,0.78533
208,74.12768,7.23571,1.54541
209,80.12019,10.44998,1.96573
210,18.55112,70.55161,0.79317
211,82.74394,91.82887,0.49284
212,12.89787,13.25271,0.75521
213,89.85434,11.22864,0.64882
214,45.60930,57.04822,1.31982
215,58.32274,96.24792,1.46356
216,52.28563,72.94292,0.40221
217,55.49264,26.80503,1.97697
218,47.27949,84.48291,0.36325
219,2.95284,75.42583,0.71437
220,70.91395,54.33627,1.00442
221,14.33618,32.28962,0.59379
222,77.78520,58.82136,1.85335
223,14.35885,44.95013,1.06220
224,42.78206,43.97127,0.74131
225,82.84446,74.61713,0.91235
226,23.83993,91.87161,1.88870
227,28.52808,13.81228,1.91295
228,20.79208,46.88489,1.26604
229,84.02101,29.57381,1.66576
230,43.43199,86.59142,1.73704
231,61.37315,54.98600,1.25053
232,43.21027,22.57719,1.83752
233,94.53272,35.57607,1.03128
234,6.34342,20.71470,1.01759
235,67.64385,54.34130,1.14087
236,56.16796,9.93041,1.69788
237,97.68633,84.04352,1.51224
238,88.79180,57.02902,0.86985
239,79.49135,28.90557,1.69229
240,32.42770,78.72533,1.17063
241,40.69277,96.35954,0.78074
