k=7.500e+02, gamma=0.500, dt=0.0100, T=1, stopTime=10.0000
min radius=0.200, max radius=2.000
N=250, Lx=100.0000, Ly=100.0000

# initial positions: i, x, y, r
i,x,y,r
220,31.06286,25.40564,1.00442
221,1.86327,7.63212,0.59379
222,23.27693,20.20705,1.85335
223,6.83196,16.24568,1.06220
224,18.25051,16.80508,0.74131
225,36.16513,41.31598,0.91235
226,13.80541,31.59433,1.88870
227,15.12392,8.57186,1.91295
228,8.66685,26.04655,1.26604
229,30.43279,10.73327,1.66576
230,11.71552,24.96436,1.73704
231,30.62103,13.87460,1.25053
232,17.62253,4.80922,1.83752
233,32.97420,13.55382,1.03128
234,6.54635,12.45295,1.01759
235,29.80132,23.05868,1.14087
236,21.14461,5.68264,1.69788
237,38.31293,34.22698,1.51224
238,39.19282,24.91653,0.86985
239,23.86526,7.95090,1.69229
240,5.19175,36.35648,1.17063
241,17.58421,23.99714,0.78074
242,6.87689,24.31593,0.50556
243,5.71646,26.02467,1.18379
244,19.93148,23.64578,1.41104
245,29.77215,3.30286,0.30009
246,1.56486,0.71108,0.53103
247,0.39645,38.44169,0.24933
248,0.85054,18.91286,0.62384
249,37.56128,1.38906,0.46328

final,1697.54991
